text,O/P
text,{'SPEC': ['text']}
He holds a Bachelor of Science in Computer Science.,"{'SPEC': ['holds', 'Computer Science'], 'DEGREE': ['Bachelor Science']}"
She earned a Master of Arts in Psychology.,{'DEGREE': ['Master Arts Psychology']}
A PhD in Biochemistry is required for this role.,"{'DEGREE': ['PhD'], 'SPEC': ['Biochemistry']}"
The position requires a Bachelor of Science in Nursing.,"{'DEGREE': ['Bachelor'], 'SPEC': ['Science', 'Nursing']}"
An MBA in Business Administration is preferred.,"{'DEGREE': ['MBA'], 'SPEC': ['Business Administration']}"
Candidates with a Master of Science in Data Science are encouraged to apply.,"{'DEGREE': ['Master Science'], 'SPEC': ['Data Science', 'encouraged apply']}"
He has a Juris Doctor from an accredited law school.,"{'DEGREE': ['Juris Doctor'], 'SPEC': ['law']}"
She completed her Bachelor of Arts in History.,"{'DEGREE': ['Bachelor Arts'], 'SPEC': ['History']}"
A Master of Public Health is highly desired.,"{'DEGREE': ['Master'], 'SPEC': ['Public Health']}"
The job requires a Doctor of Medicine degree.,{'DEGREE': ['Doctor Medicine']}
Applicants should have a Bachelor of Fine Arts in Graphic Design.,"{'DEGREE': ['Bachelor Fine Arts'], 'SPEC': ['Graphic Design']}"
A Master of Science in Civil Engineering is essential.,"{'DEGREE': ['Master Science'], 'SPEC': ['Civil Engineering']}"
He possesses a Doctor of Philosophy in Physics.,"{'SPEC': ['possesses', 'Philosophy', 'Physics'], 'DEGREE': ['Doctor']}"
She has a Bachelor of Architecture.,{'DEGREE': ['Bachelor Architecture']}
A Master of Science in Environmental Science is preferred.,"{'DEGREE': ['Master Science'], 'SPEC': ['Environmental Science']}"
Candidates with a Bachelor of Business Administration will be considered.,{'DEGREE': ['Bachelor Business Administration']}
He holds a Master of Arts in Sociology.,"{'DEGREE': ['Master Arts'], 'SPEC': ['Sociology']}"
A Bachelor of Science in Mechanical Engineering is required.,"{'DEGREE': ['Bachelor Science'], 'SPEC': ['Mechanical Engineering']}"
Applicants must have a Doctor of Pharmacy.,"{'DEGREE': ['Doctor'], 'SPEC': ['Pharmacy']}"
A Master of Fine Arts in Creative Writing is desired.,"{'DEGREE': ['Master Fine Arts'], 'SPEC': ['Creative Writing']}"
He earned a Bachelor of Science in Agricultural Sciences.,{'DEGREE': ['Bachelor Science']}
She completed a Master of Science in Biotechnology.,"{'DEGREE': ['Master'], 'SPEC': ['Biotechnology']}"
A Doctor of Philosophy in Economics is preferred.,"{'DEGREE': ['Doctor'], 'SPEC': ['Philosophy', 'Economics']}"
He has a Bachelor of Science in Electrical Engineering.,"{'DEGREE': ['Bachelor Science'], 'SPEC': ['Electrical Engineering']}"
She earned a Master of Science in Biomedical Engineering.,"{'DEGREE': ['Master Science'], 'SPEC': ['Biomedical Engineering']}"
Candidates should have a Bachelor of Science in Mathematics.,"{'DEGREE': ['Bachelor Science'], 'SPEC': ['Mathematics']}"
A Master of Arts in International Relations is required.,{'SPEC': ['International Relations']}
He holds a Doctor of Philosophy in Computer Engineering.,"{'SPEC': ['holds', 'Computer Engineering'], 'DEGREE': ['Doctor Philosophy']}"
She completed her Bachelor of Science in Finance.,"{'DEGREE': ['Bachelor Science'], 'SPEC': ['Finance']}"
Applicants should have a Master of Science in Statistics.,"{'DEGREE': ['Master Science'], 'SPEC': ['Statistics']}"
A Juris Doctor degree is essential.,{'DEGREE': ['Juris Doctor']}
He possesses a Bachelor of Science in Information Technology.,"{'SPEC': ['possesses', 'Information Technology'], 'DEGREE': ['Bachelor Science']}"
She earned a Master of Science in Marketing.,{'DEGREE': ['Master Science Marketing']}
A Bachelor of Science in Chemistry is required.,"{'DEGREE': ['Bachelor'], 'SPEC': ['Science', 'Chemistry']}"
